Source,Target,Weight
MESH:C535390,MESH:D001228,0.0013879250520471894
MESH:C535390,MESH:D002282,0.004857737682165163
MESH:C535390,MESH:D003550,0.004857737682165163
MESH:C535390,MESH:D015828,0.0013879250520471894
MESH:C535390,MESH:D016115,0.002081887578070784
MESH:C535390,MESH:D016609,0.0013879250520471894
MESH:C535390,MESH:D054331,0.002081887578070784
MESH:C535424,MESH:D009362,0.0017349063150589867
MESH:C535424,MESH:D010195,0.0017349063150589867
MESH:C535424,MESH:D015324,0.0017349063150589867
MESH:C535434,MESH:D001943,0.0013879250520471894
MESH:C535434,MESH:D009369,0.004857737682165163
MESH:C535434,MESH:D012516,0.0013879250520471894
MESH:C535436,MESH:C537521,0.001040943789035392
MESH:C535436,MESH:D009136,0.0013879250520471894
MESH:C535440,MESH:D004266,0.0013879250520471894
MESH:C535440,MESH:D006816,0.0013879250520471894
MESH:C535440,MESH:D007340,0.0006939625260235947
MESH:C535440,MESH:D008579,0.0006939625260235947
MESH:C535460,MESH:C536150,0.0024288688410825814
MESH:C535460,MESH:C537788,0.0017349063150589867
MESH:C535460,MESH:D000230,0.0017349063150589867
MESH:C535460,MESH:D002294,0.0017349063150589867
MESH:C535460,MESH:D006258,0.0017349063150589867
MESH:C535460,MESH:D007680,0.0024288688410825814
MESH:C535460,MESH:D009101,0.003122831367106176
MESH:C535460,MESH:D009369,0.007980569049271339
MESH:C535460,MESH:D009386,0.004857737682165163
MESH:C535460,MESH:D009447,0.003122831367106176
MESH:C535460,MESH:D014652,0.0024288688410825814
MESH:C535460,MESH:D018365,0.004857737682165163
MESH:C535464,MESH:D005355,0.0017349063150589867
MESH:C535464,MESH:D006330,0.0017349063150589867
MESH:C535464,MESH:D006331,0.0017349063150589867
MESH:C535464,MESH:D006984,0.0017349063150589867
MESH:C535468,MESH:C535318,0.003122831367106176
MESH:C535468,MESH:D005355,0.003122831367106176
MESH:C535468,MESH:D008107,0.003122831367106176
MESH:C535468,MESH:D009422,0.003122831367106176
MESH:C535468,MESH:D018746,0.003122831367106176
MESH:C535468,MESH:D020022,0.003122831367106176
MESH:C535470,MESH:D018450,0.004510756419153366
MESH:C535474,MESH:C536590,0.002081887578070784
MESH:C535474,MESH:D001424,0.001040943789035392
MESH:C535474,MESH:D003877,0.0013879250520471894
MESH:C535474,MESH:D004485,0.001040943789035392
MESH:C535474,MESH:D008171,0.003122831367106176
MESH:C535474,MESH:D010787,0.001040943789035392
MESH:C535474,OMIM:252500,0.0013879250520471894
MESH:C535474,OMIM:613673,0.001040943789035392
MESH:C535477,MESH:D000236,0.0034698126301179735
MESH:C535477,MESH:D000437,0.0013879250520471894
MESH:C535477,MESH:D000782,0.0034698126301179735
MESH:C535477,MESH:D001943,0.001040943789035392
MESH:C535477,MESH:D005642,0.0013879250520471894
MESH:C535477,MESH:D009369,0.0034698126301179735
MESH:C535477,MESH:D011127,0.0034698126301179735
MESH:C535477,MESH:D011297,0.0013879250520471894
MESH:C535477,MESH:D011618,0.0013879250520471894
MESH:C535477,MESH:D012559,0.0013879250520471894
MESH:C535477,MESH:D017119,0.0013879250520471894
MESH:C535477,MESH:D019292,0.0006939625260235947
MESH:C535477,MESH:D055954,0.0013879250520471894
MESH:C535477,MESH:D058926,0.0013879250520471894
MESH:C535477,OMIM:105210,0.0034698126301179735
MESH:C535477,OMIM:603663,0.0013879250520471894
MESH:C535478,MESH:C536144,0.003122831367106176
MESH:C535478,MESH:C536439,0.003122831367106176
MESH:C535478,MESH:D002386,0.007286606523247745
MESH:C535478,MESH:D003316,0.003816793893129771
